task_id,partition,proxy_best_methods,rule_candidate_id,rule_method,rule_predicted_grade,rule_truth_grade,rule_numeric_score,agent_candidate_id,agent_method,agent_predicted_grade,agent_truth_grade,agent_confidence,agent_reason,combined_candidate_id,combined_method,combined_predicted_grade,combined_truth_grade,agent_overrode_rule,overview_schema_valid,override_block_reasons,task_review_wall_seconds
person_001__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_001__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],117.977417099999
person_002__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_002__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],108.30074910000258
person_003__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_003__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,100.0,person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均无缺陷，与源图一致，可直接使用。,person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],111.1354777000015
person_004__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_004__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，与源图完全一致，无任何缺陷或可降级问题。,person_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],122.36984609999854
person_007__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_007__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],125.59254839999994
person_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_009__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,100.0,person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均保持与源图一致，无任何缺陷，可直接使用。,person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],108.86602300000231
person_010__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_010__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均无缺陷，与源图一致，可直接使用。,person_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],116.77912289999949
person_011__square-1536,development,"['crop', 'direct_warp', 'seam', 'seam_full', 'seam_scale']",person_011__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,1.0,候选图像在所有关键维度均表现优异，无任何语义缺失、局部形变、不可读文字或伪影，符合高清候选标准。,person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,True,True,[],104.40605679999862
person_012__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_012__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均与源图一致，无新增语义缺失、形变、伪影或不可发布构图，可直接使用。,person_012__square-1536--crop--e7694c36a45d,crop,A,A,False,True,['pair_did_not_prefer_agent'],109.39335469999787
person_013__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_013__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均无缺陷，与源图完全一致，可直接使用。,person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],106.79198880000331
