task_id,partition,proxy_best_methods,rule_candidate_id,rule_method,rule_predicted_grade,rule_truth_grade,rule_numeric_score,agent_candidate_id,agent_method,agent_predicted_grade,agent_truth_grade,agent_confidence,agent_reason,combined_candidate_id,combined_method,combined_predicted_grade,combined_truth_grade,agent_overrode_rule,overview_schema_valid,override_block_reasons,task_review_wall_seconds
person_001__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,98.3192089810997,person_001__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,0.99,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",135.37559110000075
person_002__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,97.85423612394668,person_002__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",140.7727554999983
person_003__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,90.11475594998184,person_003__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,0.99,候选图像在所有关键维度均保持与源图一致，无新增缺陷，可直接使用。,person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",126.48570919999838
person_004__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_004__square-1536--seam_full--254e4853a6db,seam_full,A,A,98.86961340104286,person_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均保持与源图一致，无语义缺失、形变或不可发布构图，符合直接使用标准。,person_004__square-1536--seam_full--254e4853a6db,seam_full,A,A,False,True,['agent_advisory_only'],130.51923739999984
person_007__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_007__square-1536--seam_full--254e4853a6db,seam_full,A,A,97.92776008058536,person_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_007__square-1536--seam_full--254e4853a6db,seam_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",157.02526229999967
person_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,92.8408848335942,person_009__square-1536--seam_full--254e4853a6db,seam_full,A,A,0.98,候选图在所有关键维度均表现优异，无语义缺失或不可发布构图，可直接使用。,person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,['agent_advisory_only'],173.85563990000082
person_010__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_010__square-1536--seam_full--254e4853a6db,seam_full,A,A,98.01357997306722,person_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均保持与源图一致，无新增缺陷，可直接使用。,person_010__square-1536--seam_full--254e4853a6db,seam_full,A,A,False,True,['agent_advisory_only'],137.63981430000058
person_011__square-1536,development,"['crop', 'direct_warp', 'seam', 'seam_full', 'seam_scale']",person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,92.239275358802,person_011__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",177.58373479999864
person_012__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_012__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,97.16532085009943,person_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_012__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,False,True,['agent_advisory_only'],144.16692280000098
person_013__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,96.44872792813179,person_013__square-1536--seam_full--254e4853a6db,seam_full,A,A,1.0,候选图在所有关键维度均与源图一致，无任何缺陷，可直接使用。,person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",150.04388330000074
person_014__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,91.05348080727212,person_014__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,"['pair_did_not_prefer_agent', 'agent_advisory_only']",147.06534609999835
person_015__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,91.27807065613997,person_015__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,0.99,候选图像在所有关键维度均保持与源图一致，无新增缺陷，可直接使用。,person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,False,True,['agent_advisory_only'],156.44690009999977
