task_id,partition,proxy_best_methods,rule_candidate_id,rule_method,rule_predicted_grade,rule_truth_grade,rule_numeric_score,agent_candidate_id,agent_method,agent_predicted_grade,agent_truth_grade,agent_confidence,agent_reason,combined_candidate_id,combined_method,combined_predicted_grade,combined_truth_grade,agent_overrode_rule,overview_schema_valid,override_block_reasons,task_review_wall_seconds
person_001__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_001__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_001__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],20.510917400002654
person_002__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_002__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],6.437463800000842
person_003__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_003__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,97.94682634411002,person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_003__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],42.55882040000142
person_004__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_004__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均与源图一致，无任何语义缺失、形变或伪影，可直接使用。,person_004__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],49.93368929999997
person_007__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_007__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_007__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],11.714908100002503
person_009__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_009__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,99.15701486743065,person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,0.99,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_009__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],5.42455119999795
person_010__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_010__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均无缺陷，与源图一致，可直接使用。,person_010__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],39.684030399999756
person_011__square-1536,development,"['crop', 'direct_warp', 'seam', 'seam_full', 'seam_scale']",person_011__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,100.0,person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,1.0,候选图像在所有关键维度均表现优异，无任何语义缺失、局部形变、不可读文字或伪影，符合高清候选标准。,person_011__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,B,True,True,[],39.20067640000343
person_012__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_012__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均与源图一致，无新增语义缺失、形变、伪影或不可发布构图，符合 A 级标准。,person_012__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],45.50146440000026
person_013__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_013__square-1536--crop--e7694c36a45d,crop,A,A,100.0,person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_013__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],39.20787239999845
person_014__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_014__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,99.44946508972248,person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,1.0,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_014__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],38.264082800000324
person_015__square-1536,development,"['crop', 'direct_warp', 'mesh_full', 'seam', 'seam_full', 'seam_scale']",person_015__square-1536--direct_warp--b8ded5ae9971,direct_warp,A,A,99.81368289933198,person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,0.99,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,person_015__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,A,True,True,[],49.101529200001096
poster_001__square-1536,development,"['crop', 'direct_warp', 'mesh', 'mesh_full', 'seam']",poster_001__square-1536--seam_scale--d7f0ce43ebe8,seam_scale,B,C,73.08813780726979,poster_001__square-1536--mesh--06e13bedd94b,mesh,A,B,0.98,候选图像在所有关键维度均表现优异，无任何缺陷，可直接使用。,poster_001__square-1536--mesh--06e13bedd94b,mesh,A,B,True,True,[],7.020439400002942
poster_002__square-1536,development,"['direct_warp', 'mesh']",poster_002__square-1536--mesh--06e13bedd94b,mesh,B,B,76.97545666452417,poster_002__square-1536--mesh_full--b3fcd2f2bfc7,mesh_full,A,C,0.98,候选图在所有关键维度均表现优异，无任何缺陷，可直接使用。,poster_002__square-1536--mesh--06e13bedd94b,mesh,B,B,False,True,['critical_text_recall_declined'],4.714220900001237
